"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
11.57 MHz,0.869 / -58.500 ,0.851 / 36.049 ,0.435 / 76.162 
11.58 MHz,0.868 / -58.675 ,0.849 / 35.751 ,0.437 / 75.910 
11.59 MHz,0.867 / -58.851 ,0.848 / 35.452 ,0.439 / 75.658 
11.60 MHz,0.865 / -59.029 ,0.847 / 35.152 ,0.441 / 75.404 
11.61 MHz,0.864 / -59.207 ,0.846 / 34.851 ,0.443 / 75.149 
11.62 MHz,0.862 / -59.386 ,0.844 / 34.549 ,0.446 / 74.893 
11.63 MHz,0.861 / -59.567 ,0.843 / 34.247 ,0.448 / 74.635 
11.64 MHz,0.859 / -59.748 ,0.842 / 33.943 ,0.450 / 74.377 
11.65 MHz,0.858 / -59.931 ,0.840 / 33.639 ,0.452 / 74.117 
11.66 MHz,0.857 / -60.115 ,0.839 / 33.334 ,0.454 / 73.856 
11.67 MHz,0.855 / -60.300 ,0.838 / 33.027 ,0.457 / 73.594 
11.68 MHz,0.854 / -60.486 ,0.836 / 32.720 ,0.459 / 73.331 
11.69 MHz,0.852 / -60.674 ,0.835 / 32.412 ,0.461 / 73.066 
11.70 MHz,0.850 / -60.862 ,0.834 / 32.104 ,0.463 / 72.800 
11.71 MHz,0.849 / -61.052 ,0.832 / 31.794 ,0.466 / 72.533 
11.72 MHz,0.847 / -61.243 ,0.831 / 31.483 ,0.468 / 72.265 
11.73 MHz,0.846 / -61.435 ,0.829 / 31.172 ,0.470 / 71.996 
11.74 MHz,0.844 / -61.628 ,0.828 / 30.860 ,0.473 / 71.725 
11.75 MHz,0.842 / -61.823 ,0.827 / 30.546 ,0.475 / 71.453 
11.76 MHz,0.841 / -62.019 ,0.825 / 30.232 ,0.477 / 71.180 
11.77 MHz,0.839 / -62.216 ,0.824 / 29.917 ,0.480 / 70.905 
11.78 MHz,0.837 / -62.414 ,0.822 / 29.601 ,0.482 / 70.629 
11.79 MHz,0.836 / -62.614 ,0.820 / 29.284 ,0.484 / 70.352 
